@relation 'student_habits_performance 2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R3-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R4-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R7-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R10-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R15-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R15-precision6-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R15-precision6-unset-class-temporarily'

@attribute age {Young,Adult,Old}
@attribute gender {Female,Male,Other}
@attribute study_hours_per_day {Bas,Moyen,Haut}
@attribute social_media_hours {PeuConnecte,Connecte,HyperConnecte}
@attribute netflix_hours {Occasionnel,Regulier,Intensif}
@attribute part_time_job {No,Yes}
@attribute attendance_percentage {Absenteisme,PresenceMoyenne,PresenceAssidue}
@attribute sleep_hours {PeuDormeur,BonDormeur,GrosDormeur}
@attribute diet_quality {Fair,Good,Poor}
@attribute exercise_frequency {Rare,Regulier,Frequent}
@attribute parental_education_level {Master,High_School,Bachelor,None}
@attribute internet_quality {Average,Poor,Good}
@attribute mental_health_rating {Fragile,Stable,Equilibree}
@attribute extracurricular_participation {Yes,No}
@attribute exam_score {Faible,Moyen,Bon,Excellent}

@data
Young,Male,Moyen,HyperConnecte,Occasionnel,No,PresenceAssidue,PeuDormeur,Poor,Regulier,Bachelor,Average,Equilibree,Yes,Excellent
Young,Female,Moyen,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Fair,Frequent,Master,Poor,Stable,No,Bon
Young,Male,Bas,PeuConnecte,Regulier,No,PresenceAssidue,BonDormeur,Fair,Frequent,Master,Poor,Fragile,No,Moyen
Old,Male,Moyen,Connecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Rare,High_School,Average,Fragile,No,Moyen
Old,Female,Moyen,Connecte,Occasionnel,Yes,PresenceMoyenne,PeuDormeur,Good,Rare,None,Poor,Fragile,No,Bon
Old,Male,Haut,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Poor,Rare,High_School,Average,Stable,Yes,Excellent
Young,Male,Haut,Connecte,Intensif,No,PresenceAssidue,GrosDormeur,Poor,Frequent,Bachelor,Good,Equilibree,No,Excellent
Young,Female,Moyen,HyperConnecte,Occasionnel,Yes,PresenceMoyenne,PeuDormeur,Fair,Regulier,Bachelor,Good,Equilibree,No,Bon
Old,Female,Bas,PeuConnecte,Occasionnel,Yes,PresenceAssidue,BonDormeur,Poor,Frequent,Bachelor,Average,Stable,No,Bon
Adult,Male,Moyen,Connecte,Regulier,Yes,PresenceMoyenne,BonDormeur,Fair,Rare,High_School,Average,Stable,Yes,Bon
Old,Male,Bas,PeuConnecte,Intensif,Yes,PresenceMoyenne,BonDormeur,Good,Rare,Bachelor,Average,Equilibree,No,Faible
Young,Female,Moyen,Connecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Frequent,High_School,Good,Fragile,No,Bon
Old,Male,Moyen,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Poor,Rare,Bachelor,Good,Stable,Yes,Bon
Young,Male,Moyen,PeuConnecte,Intensif,Yes,PresenceMoyenne,BonDormeur,Fair,Regulier,High_School,Good,Stable,No,Moyen
Adult,Male,Bas,PeuConnecte,Regulier,Yes,PresenceAssidue,GrosDormeur,Fair,Frequent,Bachelor,Average,Fragile,Yes,Moyen
Adult,Female,Moyen,Connecte,Regulier,No,PresenceMoyenne,PeuDormeur,Poor,Regulier,None,Good,Fragile,No,Bon
Young,Female,Bas,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Rare,High_School,Poor,Stable,Yes,Bon
Young,Male,Bas,PeuConnecte,Occasionnel,No,PresenceMoyenne,GrosDormeur,Good,Frequent,Bachelor,Good,Stable,No,Bon
Young,Male,Bas,Connecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Good,Frequent,High_School,Average,Fragile,No,Faible
Old,Male,Moyen,PeuConnecte,Regulier,No,Absenteisme,GrosDormeur,Good,Rare,Bachelor,Average,Stable,No,Bon
Old,Female,Haut,PeuConnecte,Regulier,No,PresenceMoyenne,BonDormeur,Poor,Regulier,Bachelor,Good,Equilibree,No,Excellent
Adult,Male,Haut,PeuConnecte,Regulier,Yes,PresenceMoyenne,BonDormeur,Good,Rare,Bachelor,Average,Stable,No,Excellent
Adult,Male,Moyen,PeuConnecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Rare,High_School,Poor,Equilibree,Yes,Bon
Adult,Female,Bas,HyperConnecte,Regulier,No,PresenceAssidue,GrosDormeur,Good,Rare,High_School,Poor,Equilibree,No,Bon
Old,Male,Moyen,Connecte,Regulier,No,PresenceMoyenne,BonDormeur,Poor,Regulier,Bachelor,Poor,Fragile,No,Bon
Young,Female,Bas,PeuConnecte,Regulier,No,PresenceAssidue,BonDormeur,Good,Rare,High_School,Poor,Fragile,No,Moyen
Old,Male,Moyen,PeuConnecte,Regulier,No,PresenceAssidue,GrosDormeur,Good,Rare,Bachelor,Poor,Equilibree,Yes,Excellent
Young,Male,Moyen,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Regulier,High_School,Average,Fragile,Yes,Bon
Young,Male,Moyen,HyperConnecte,Occasionnel,No,PresenceMoyenne,PeuDormeur,Poor,Rare,High_School,Average,Equilibree,No,Bon
Young,Female,Moyen,PeuConnecte,Occasionnel,Yes,PresenceMoyenne,BonDormeur,Good,Rare,High_School,Good,Equilibree,No,Bon
Young,Female,Moyen,PeuConnecte,Occasionnel,Yes,PresenceAssidue,BonDormeur,Good,Regulier,None,Average,Fragile,No,Bon
Old,Female,Bas,Connecte,Regulier,No,PresenceAssidue,GrosDormeur,Good,Rare,High_School,Poor,Fragile,No,Moyen
Old,Male,Bas,Connecte,Intensif,No,Absenteisme,BonDormeur,Fair,Regulier,Bachelor,Average,Equilibree,No,Moyen
Young,Female,Moyen,PeuConnecte,Occasionnel,No,PresenceMoyenne,GrosDormeur,Good,Frequent,Bachelor,Good,Equilibree,No,Excellent
Adult,Male,Moyen,Connecte,Occasionnel,No,PresenceMoyenne,PeuDormeur,Fair,Regulier,High_School,Good,Equilibree,No,Bon
Old,Male,Moyen,PeuConnecte,Regulier,Yes,PresenceAssidue,BonDormeur,Fair,Frequent,Master,Average,Fragile,No,Excellent
Old,Female,Bas,Connecte,Regulier,Yes,PresenceAssidue,BonDormeur,Fair,Regulier,Bachelor,Good,Equilibree,Yes,Bon
Old,Male,Haut,Connecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Good,Rare,Master,Good,Fragile,Yes,Bon
Young,Male,Moyen,Connecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Poor,Regulier,Bachelor,Good,Fragile,Yes,Bon
Old,Male,Moyen,PeuConnecte,Regulier,No,PresenceMoyenne,BonDormeur,Fair,Rare,Bachelor,Good,Fragile,No,Bon
Adult,Male,Bas,Connecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Good,Rare,None,Good,Fragile,Yes,Moyen
Young,Male,Bas,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Good,Frequent,High_School,Good,Equilibree,Yes,Moyen
Young,Female,Moyen,Connecte,Regulier,No,PresenceAssidue,BonDormeur,Fair,Rare,None,Good,Stable,No,Bon
Old,Male,Moyen,PeuConnecte,Regulier,Yes,PresenceMoyenne,PeuDormeur,Good,Frequent,Bachelor,Average,Stable,Yes,Excellent
Adult,Female,Moyen,PeuConnecte,Regulier,No,PresenceAssidue,BonDormeur,Good,Rare,High_School,Good,Equilibree,Yes,Bon
Old,Female,Moyen,PeuConnecte,Regulier,No,Absenteisme,BonDormeur,Poor,Rare,Bachelor,Good,Equilibree,Yes,Excellent
Old,Male,Moyen,Connecte,Regulier,No,PresenceMoyenne,BonDormeur,Fair,Frequent,High_School,Poor,Stable,Yes,Bon
Adult,Male,Bas,Connecte,Regulier,No,PresenceMoyenne,BonDormeur,Poor,Regulier,Bachelor,Good,Fragile,No,Faible
Old,Male,Bas,PeuConnecte,Regulier,No,PresenceAssidue,BonDormeur,Fair,Rare,High_School,Average,Fragile,No,Moyen
Young,Female,Moyen,Connecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Frequent,High_School,Average,Fragile,No,Bon
Old,Male,Bas,PeuConnecte,Regulier,Yes,Absenteisme,GrosDormeur,Good,Regulier,High_School,Good,Equilibree,No,Moyen
Old,Female,Moyen,PeuConnecte,Regulier,No,Absenteisme,PeuDormeur,Good,Rare,High_School,Average,Equilibree,No,Bon
Young,Male,Bas,PeuConnecte,Regulier,Yes,PresenceMoyenne,BonDormeur,Poor,Regulier,High_School,Average,Equilibree,No,Bon
Young,Female,Moyen,HyperConnecte,Occasionnel,No,PresenceAssidue,GrosDormeur,Poor,Rare,Bachelor,Poor,Stable,Yes,Bon
Young,Male,Moyen,PeuConnecte,Regulier,Yes,PresenceAssidue,PeuDormeur,Fair,Regulier,None,Average,Fragile,Yes,Bon
Adult,Male,Bas,Connecte,Occasionnel,No,PresenceAssidue,PeuDormeur,Fair,Regulier,High_School,Average,Equilibree,No,Moyen
Young,Female,Moyen,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Fair,Rare,Bachelor,Average,Equilibree,Yes,Excellent
Old,Female,Bas,Connecte,Occasionnel,No,PresenceMoyenne,PeuDormeur,Good,Regulier,None,Average,Fragile,Yes,Moyen
Old,Male,Bas,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Frequent,Master,Good,Stable,No,Moyen
Young,Female,Moyen,Connecte,Intensif,Yes,Absenteisme,GrosDormeur,Fair,Regulier,Master,Good,Fragile,No,Bon
Young,Female,Moyen,Connecte,Regulier,No,PresenceMoyenne,PeuDormeur,Good,Regulier,None,Poor,Equilibree,Yes,Excellent
Old,Female,Bas,PeuConnecte,Intensif,No,Absenteisme,PeuDormeur,Fair,Regulier,High_School,Good,Fragile,Yes,Faible
Young,Female,Moyen,Connecte,Occasionnel,No,PresenceMoyenne,PeuDormeur,Good,Rare,High_School,Poor,Fragile,No,Moyen
Old,Male,Moyen,Connecte,Regulier,Yes,PresenceMoyenne,BonDormeur,Fair,Rare,Bachelor,Poor,Equilibree,No,Bon
Adult,Male,Moyen,PeuConnecte,Occasionnel,No,PresenceAssidue,GrosDormeur,Poor,Regulier,Bachelor,Poor,Fragile,Yes,Bon
Young,Male,Moyen,PeuConnecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Frequent,Bachelor,Good,Equilibree,No,Excellent
Adult,Female,Moyen,PeuConnecte,Occasionnel,Yes,PresenceMoyenne,BonDormeur,Fair,Frequent,Bachelor,Good,Equilibree,No,Bon
Young,Female,Bas,PeuConnecte,Regulier,No,PresenceMoyenne,GrosDormeur,Good,Rare,High_School,Average,Fragile,No,Moyen
Adult,Male,Moyen,PeuConnecte,Occasionnel,No,Absenteisme,GrosDormeur,Fair,Rare,Bachelor,Average,Stable,No,Bon
Young,Male,Bas,Connecte,Regulier,No,PresenceAssidue,BonDormeur,Poor,Rare,Bachelor,Average,Stable,Yes,Faible
Old,Female,Bas,PeuConnecte,Regulier,No,PresenceMoyenne,PeuDormeur,Poor,Regulier,Bachelor,Average,Fragile,No,Faible
Adult,Other,Moyen,PeuConnecte,Intensif,No,PresenceMoyenne,BonDormeur,Fair,Rare,Master,Good,Equilibree,No,Bon
Old,Female,Moyen,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Rare,Bachelor,Average,Fragile,Yes,Excellent
Adult,Male,Bas,Connecte,Regulier,No,PresenceMoyenne,BonDormeur,Fair,Regulier,High_School,Good,Fragile,No,Faible
Old,Male,Bas,PeuConnecte,Regulier,No,PresenceMoyenne,BonDormeur,Good,Frequent,High_School,Average,Fragile,Yes,Moyen
Old,Male,Moyen,PeuConnecte,Occasionnel,No,PresenceMoyenne,GrosDormeur,Good,Regulier,High_School,Good,Fragile,Yes,Bon
Old,Female,Haut,Connecte,Regulier,No,PresenceMoyenne,GrosDormeur,Good,Rare,None,Good,Equilibree,No,Excellent
Old,Male,Moyen,Connecte,Regulier,No,PresenceAssidue,BonDormeur,Fair,Rare,Master,Average,Stable,Yes,Bon
Young,Female,Bas,PeuConnecte,Occasionnel,No,PresenceAssidue,GrosDormeur,Good,Frequent,High_School,Good,Fragile,No,Bon
Young,Male,Moyen,PeuConnecte,Occasionnel,No,PresenceAssidue,BonDormeur,Fair,Regulier,Bachelor,Good,Stable,No,Bon
Old,Female,Haut,Connecte,Occasionnel,No,Absenteisme,BonDormeur,Fair,Regulier,Bachelor,Average,Equilibree,No,Excellent
Young,Female,Bas,PeuConnecte,Intensif,No,PresenceAssidue,BonDormeur,Poor,Frequent,None,Average,Stable,No,Bon
Old,Female,Bas,PeuConnecte,Occasionnel,Yes,PresenceMoyenne,BonDormeur,Fair,Regulier,Master,Good,Stable,No,Bon
Adult,Male,Moyen,PeuConnecte,Regulier,No,PresenceMoyenne,GrosDormeur,Poor,Regulier,Master,Average,Fragile,Yes,Bon
Young,Male,Bas,PeuConnecte,Occasionnel,No,PresenceMoyenne,PeuDormeur,Good,Regulier,Bachelor,Poor,Equilibree,No,Bon
Young,Male,Moyen,PeuConnecte,Occasionnel,Yes,PresenceMoyenne,BonDormeur,Fair,Rare,High_School,Average,Fragile,No,Moyen
Old,Female,Haut,PeuConnecte,Regulier,No,PresenceAssidue,BonDormeur,Fair,Rare,High_School,Good,Fragile,Yes,Excellent
Old,Female,Moyen,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Frequent,High_School,Good,Equilibree,Yes,Excellent
Old,Female,Moyen,Connecte,Occasionnel,No,PresenceMoyenne,GrosDormeur,Fair,Frequent,High_School,Good,Equilibree,Yes,Bon
Old,Female,Moyen,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Fair,Rare,Bachelor,Average,Equilibree,No,Bon
Old,Female,Bas,PeuConnecte,Regulier,No,Absenteisme,PeuDormeur,Poor,Regulier,Master,Poor,Stable,No,Moyen
Old,Male,Moyen,PeuConnecte,Occasionnel,Yes,PresenceMoyenne,BonDormeur,Good,Regulier,Bachelor,Good,Stable,No,Excellent
Old,Female,Moyen,Connecte,Regulier,No,Absenteisme,BonDormeur,Poor,Rare,Master,Good,Fragile,No,Bon
Adult,Male,Moyen,Connecte,Regulier,Yes,PresenceMoyenne,PeuDormeur,Fair,Frequent,Bachelor,Poor,Fragile,No,Moyen
Young,Male,Haut,Connecte,Regulier,Yes,PresenceAssidue,BonDormeur,Fair,Frequent,High_School,Average,Equilibree,No,Excellent
Old,Female,Moyen,PeuConnecte,Occasionnel,Yes,PresenceAssidue,PeuDormeur,Good,Frequent,Master,Poor,Fragile,No,Bon
Old,Male,Bas,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Regulier,High_School,Good,Fragile,No,Moyen
Young,Male,Moyen,Connecte,Regulier,No,PresenceMoyenne,PeuDormeur,Good,Frequent,Master,Good,Fragile,No,Moyen
Young,Female,Moyen,Connecte,Regulier,Yes,PresenceAssidue,BonDormeur,Poor,Rare,High_School,Good,Stable,No,Bon
Young,Male,Moyen,Connecte,Occasionnel,Yes,PresenceAssidue,BonDormeur,Fair,Frequent,High_School,Good,Stable,No,Bon
Adult,Female,Bas,Connecte,Regulier,No,PresenceAssidue,PeuDormeur,Fair,Frequent,Master,Poor,Stable,No,Moyen
Old,Male,Moyen,Connecte,Occasionnel,Yes,Absenteisme,BonDormeur,Poor,Regulier,Bachelor,Good,Fragile,No,Excellent
Young,Male,Bas,Connecte,Regulier,Yes,PresenceAssidue,PeuDormeur,Fair,Rare,Master,Good,Fragile,No,Moyen
Adult,Male,Haut,Connecte,Intensif,Yes,PresenceMoyenne,BonDormeur,Fair,Rare,Master,Average,Stable,No,Excellent
Old,Male,Moyen,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Frequent,None,Good,Fragile,No,Excellent
Old,Female,Moyen,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Rare,Bachelor,Average,Equilibree,No,Bon
Young,Male,Moyen,Connecte,Regulier,No,PresenceAssidue,BonDormeur,Fair,Frequent,High_School,Good,Equilibree,No,Excellent
Adult,Female,Moyen,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Good,Rare,Bachelor,Good,Fragile,Yes,Bon
Adult,Male,Moyen,PeuConnecte,Occasionnel,No,PresenceMoyenne,GrosDormeur,Fair,Rare,Bachelor,Good,Equilibree,Yes,Excellent
Adult,Female,Moyen,Connecte,Regulier,No,Absenteisme,BonDormeur,Fair,Rare,High_School,Good,Fragile,No,Bon
Old,Female,Bas,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Fair,Rare,Bachelor,Poor,Fragile,No,Faible
Young,Female,Bas,Connecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Poor,Regulier,Bachelor,Average,Fragile,No,Moyen
Adult,Male,Moyen,Connecte,Regulier,No,PresenceAssidue,BonDormeur,Poor,Frequent,High_School,Average,Stable,No,Excellent
Young,Male,Moyen,Connecte,Regulier,Yes,PresenceMoyenne,BonDormeur,Fair,Frequent,Bachelor,Good,Stable,No,Moyen
Old,Male,Moyen,Connecte,Regulier,No,PresenceMoyenne,BonDormeur,Good,Frequent,Bachelor,Good,Stable,Yes,Moyen
Young,Female,Bas,Connecte,Occasionnel,No,PresenceMoyenne,PeuDormeur,Good,Frequent,Master,Good,Fragile,Yes,Moyen
Old,Male,Moyen,Connecte,Regulier,No,PresenceAssidue,BonDormeur,Poor,Frequent,High_School,Poor,Equilibree,No,Excellent
Young,Female,Haut,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Good,Frequent,High_School,Good,Fragile,Yes,Excellent
Adult,Female,Bas,Connecte,Regulier,No,PresenceAssidue,BonDormeur,Good,Frequent,Bachelor,Good,Fragile,No,Moyen
Adult,Male,Moyen,Connecte,Occasionnel,Yes,PresenceMoyenne,PeuDormeur,Good,Frequent,None,Good,Fragile,No,Moyen
Old,Female,Haut,PeuConnecte,Occasionnel,No,Absenteisme,GrosDormeur,Good,Rare,Master,Poor,Stable,No,Excellent
Adult,Male,Moyen,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Rare,None,Poor,Fragile,No,Bon
Old,Male,Moyen,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Regulier,Bachelor,Poor,Fragile,No,Bon
Adult,Female,Bas,PeuConnecte,Occasionnel,No,PresenceMoyenne,PeuDormeur,Fair,Rare,Bachelor,Good,Stable,Yes,Moyen
Old,Female,Moyen,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Frequent,High_School,Good,Fragile,No,Bon
Young,Female,Moyen,PeuConnecte,Regulier,No,PresenceAssidue,GrosDormeur,Fair,Rare,None,Good,Fragile,No,Bon
Adult,Male,Moyen,PeuConnecte,Regulier,No,PresenceMoyenne,BonDormeur,Fair,Frequent,Bachelor,Average,Stable,Yes,Excellent
Young,Male,Moyen,Connecte,Regulier,Yes,PresenceMoyenne,BonDormeur,Good,Regulier,Bachelor,Average,Stable,Yes,Excellent
Adult,Female,Haut,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Regulier,High_School,Good,Stable,Yes,Excellent
Old,Female,Moyen,PeuConnecte,Regulier,No,PresenceAssidue,BonDormeur,Good,Regulier,Master,Good,Fragile,Yes,Bon
Adult,Female,Moyen,Connecte,Regulier,No,PresenceMoyenne,GrosDormeur,Good,Rare,High_School,Good,Fragile,No,Moyen
Young,Male,Moyen,Connecte,Regulier,No,PresenceMoyenne,GrosDormeur,Good,Rare,High_School,Good,Stable,No,Bon
Old,Female,Moyen,Connecte,Occasionnel,No,Absenteisme,BonDormeur,Poor,Frequent,Bachelor,Average,Equilibree,No,Bon
Adult,Male,Moyen,PeuConnecte,Regulier,No,PresenceMoyenne,BonDormeur,Fair,Regulier,High_School,Good,Stable,No,Bon
Old,Male,Moyen,Connecte,Regulier,No,PresenceMoyenne,PeuDormeur,Fair,Rare,Master,Good,Stable,No,Moyen
Young,Female,Moyen,PeuConnecte,Occasionnel,No,PresenceAssidue,PeuDormeur,Good,Frequent,High_School,Average,Stable,No,Bon
Adult,Male,Moyen,Connecte,Occasionnel,No,PresenceMoyenne,PeuDormeur,Fair,Rare,None,Average,Stable,No,Excellent
Young,Female,Bas,Connecte,Regulier,No,PresenceAssidue,BonDormeur,Good,Frequent,High_School,Average,Equilibree,No,Bon
Adult,Male,Moyen,Connecte,Intensif,Yes,PresenceMoyenne,BonDormeur,Poor,Rare,Bachelor,Poor,Equilibree,No,Excellent
Old,Male,Moyen,PeuConnecte,Occasionnel,No,PresenceMoyenne,PeuDormeur,Fair,Rare,Bachelor,Good,Stable,No,Excellent
Adult,Female,Moyen,PeuConnecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Rare,Bachelor,Poor,Stable,No,Bon
Adult,Female,Bas,Connecte,Regulier,No,PresenceAssidue,BonDormeur,Poor,Regulier,None,Average,Fragile,Yes,Faible
Old,Female,Bas,PeuConnecte,Regulier,Yes,PresenceMoyenne,BonDormeur,Fair,Rare,High_School,Average,Stable,No,Bon
Old,Female,Moyen,Connecte,Regulier,No,PresenceMoyenne,PeuDormeur,Fair,Rare,Bachelor,Good,Fragile,No,Bon
Young,Female,Moyen,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Regulier,None,Average,Stable,Yes,Bon
Old,Female,Bas,Connecte,Regulier,No,PresenceMoyenne,PeuDormeur,Good,Frequent,Master,Good,Stable,No,Moyen
Young,Female,Bas,PeuConnecte,Regulier,No,PresenceMoyenne,BonDormeur,Fair,Rare,None,Poor,Fragile,No,Moyen
Old,Male,Moyen,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Fair,Regulier,Bachelor,Poor,Fragile,Yes,Bon
Young,Female,Moyen,Connecte,Regulier,No,PresenceMoyenne,PeuDormeur,Poor,Frequent,High_School,Average,Fragile,No,Bon
Young,Male,Moyen,PeuConnecte,Regulier,Yes,PresenceMoyenne,BonDormeur,Good,Rare,Bachelor,Average,Fragile,Yes,Moyen
Young,Other,Moyen,Connecte,Regulier,No,PresenceAssidue,BonDormeur,Fair,Frequent,High_School,Average,Fragile,No,Bon
Old,Female,Moyen,Connecte,Occasionnel,No,PresenceAssidue,PeuDormeur,Good,Frequent,None,Poor,Fragile,Yes,Bon
Old,Male,Bas,PeuConnecte,Regulier,Yes,PresenceMoyenne,BonDormeur,Good,Regulier,High_School,Good,Stable,No,Bon
Young,Female,Haut,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Frequent,High_School,Good,Fragile,Yes,Excellent
Young,Female,Moyen,PeuConnecte,Regulier,No,PresenceAssidue,BonDormeur,Good,Frequent,High_School,Poor,Stable,Yes,Excellent
Old,Male,Moyen,Connecte,Regulier,No,PresenceAssidue,PeuDormeur,Good,Regulier,Bachelor,Poor,Stable,Yes,Excellent
Old,Female,Haut,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Frequent,Bachelor,Good,Stable,No,Excellent
Old,Female,Moyen,Connecte,Regulier,No,PresenceAssidue,PeuDormeur,Poor,Rare,Bachelor,Good,Stable,No,Bon
Young,Male,Moyen,PeuConnecte,Occasionnel,Yes,PresenceAssidue,PeuDormeur,Good,Rare,Bachelor,Average,Stable,No,Bon
Old,Female,Moyen,Connecte,Occasionnel,Yes,PresenceMoyenne,PeuDormeur,Good,Rare,Bachelor,Good,Fragile,No,Bon
Old,Male,Moyen,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Rare,High_School,Good,Fragile,No,Bon
Old,Female,Bas,PeuConnecte,Regulier,No,PresenceMoyenne,BonDormeur,Fair,Rare,High_School,Good,Stable,Yes,Moyen
Old,Other,Moyen,Connecte,Regulier,No,PresenceMoyenne,BonDormeur,Good,Frequent,High_School,Average,Fragile,No,Bon
Young,Female,Bas,Connecte,Regulier,No,PresenceMoyenne,BonDormeur,Good,Rare,Bachelor,Average,Stable,Yes,Moyen
Old,Male,Moyen,Connecte,Occasionnel,No,PresenceAssidue,PeuDormeur,Good,Regulier,High_School,Poor,Fragile,No,Excellent
Young,Female,Moyen,Connecte,Intensif,No,PresenceAssidue,BonDormeur,Fair,Rare,None,Good,Fragile,No,Moyen
Young,Female,Moyen,PeuConnecte,Regulier,No,PresenceMoyenne,BonDormeur,Good,Frequent,Bachelor,Good,Equilibree,No,Excellent
Young,Male,Moyen,Connecte,Regulier,No,Absenteisme,PeuDormeur,Fair,Frequent,High_School,Average,Equilibree,Yes,Bon
Young,Female,Moyen,Connecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Frequent,Master,Good,Fragile,No,Bon
Young,Male,Moyen,PeuConnecte,Regulier,No,PresenceAssidue,BonDormeur,Good,Rare,Master,Good,Equilibree,Yes,Excellent
Old,Female,Moyen,PeuConnecte,Regulier,No,PresenceAssidue,BonDormeur,Good,Rare,None,Good,Fragile,Yes,Moyen
Young,Male,Moyen,Connecte,Regulier,Yes,PresenceMoyenne,BonDormeur,Fair,Frequent,High_School,Good,Stable,Yes,Excellent
Young,Male,Bas,PeuConnecte,Regulier,No,PresenceAssidue,BonDormeur,Fair,Rare,High_School,Good,Equilibree,No,Moyen
Young,Male,Moyen,Connecte,Regulier,No,PresenceAssidue,BonDormeur,Good,Frequent,Bachelor,Average,Equilibree,No,Excellent
Old,Female,Haut,Connecte,Occasionnel,Yes,PresenceAssidue,BonDormeur,Fair,Rare,High_School,Good,Stable,No,Excellent
Old,Male,Bas,Connecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Good,Rare,Bachelor,Good,Stable,Yes,Moyen
Old,Female,Bas,PeuConnecte,Regulier,Yes,PresenceMoyenne,PeuDormeur,Good,Frequent,Bachelor,Average,Equilibree,No,Moyen
Adult,Male,Moyen,Connecte,Regulier,No,PresenceMoyenne,PeuDormeur,Poor,Rare,High_School,Poor,Stable,No,Bon
Young,Male,Moyen,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Regulier,None,Good,Stable,Yes,Excellent
Old,Female,Moyen,Connecte,Regulier,No,PresenceMoyenne,BonDormeur,Good,Regulier,Bachelor,Average,Stable,Yes,Bon
Young,Female,Moyen,Connecte,Regulier,Yes,PresenceMoyenne,PeuDormeur,Good,Rare,High_School,Good,Stable,No,Bon
Young,Male,Moyen,HyperConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Good,Rare,Bachelor,Poor,Equilibree,No,Bon
Young,Female,Moyen,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Rare,High_School,Poor,Fragile,No,Bon
Young,Female,Moyen,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Poor,Frequent,Bachelor,Average,Stable,No,Excellent
Old,Female,Moyen,Connecte,Regulier,No,PresenceAssidue,PeuDormeur,Fair,Frequent,Master,Average,Fragile,Yes,Moyen
Adult,Male,Moyen,Connecte,Occasionnel,Yes,PresenceAssidue,PeuDormeur,Good,Rare,Master,Good,Fragile,Yes,Bon
Adult,Male,Haut,Connecte,Regulier,No,PresenceAssidue,BonDormeur,Fair,Frequent,High_School,Good,Stable,No,Excellent
